Name,Symbol,Price,Market Cap,Volume,24h Change,Category
Dai,dai,0.999815,3642718678,36384425,0.00728,Others
Pi Network,pi,0.472565,3612362222,90411957,2.39001,Others
Ethena Staked USDe,susde,1.18,3137820040,11752483,0.01733,Others
Bittensor,tao,329.71,2958854832,51163477,2.41204,Others
OKB,okb,48.86,2930918023,5973319,0.25597,Others
Aptos,apt,4.51,2909991547,134501387,2.20363,Others
BlackRock USD Institutional Digital Liquidity Fund,buidl,1,2833937573,0,0,Others
Jito Staked SOL,jitosol,185.58,2724589689,25975324,3.62501,Others
NEAR Protocol,near,2.21,2718718624,110535664,3.08678,Others
Internet Computer,icp,4.88,2610305683,33149087,2.49975,Others
Ethereum Classic,etc,16.78,2560765000,29662686,2.98452,Others
Cronos,cro,0.081425,2534183881,10326749,0.91701,Others
Ondo,ondo,0.801273,2531207887,79807979,2.44979,Others
sUSDS,susds,1.058,2360746400,3133100,-0.00007,Others
USD1,usd1,1.001,2204984066,431738891,0.11063,Others
Kaspa,kas,0.077951,2055083945,47979761,3.95769,Others
Mantle,mnt,0.572798,1929005349,141543555,1.65755,Others
Fasttoken,ftn,4.43,1910575176,56418579,-0.0976,Others
Cosmos Hub,atom,4.11,1882547790,52302251,2.77536,Others
Gate,gt,15.43,1843217470,3644279,1.67162,Others
VeChain,vet,0.0210597,1812126298,22371144,1.94709,Others
Artificial Superintelligence Alliance,fet,0.691048,1800570587,95091217,4.73029,Others
Official Trump,trump,8.69,1739004103,122167643,1.68827,Others
Bonk,bonk,0.0000225,1735518892,1586808179,22.18632,Others
Sky,sky,0.079755,1695542265,7282427,3.65755,Others
Render,render,3.26,1687513749,47376059,2.83717,Others
Ethena,ena,0.265182,1685414625,96215391,3.97173,Others
Arbitrum,arb,0.336999,1671640286,145310300,3.06203,Others
Lombard Staked BTC,lbtc,109407,1668972836,3935123,1.37752,Others
POL (ex-MATIC),pol,0.185096,1666943484,41136485,1.31832,Others
Quant,qnt,108.84,1584071746,13547638,1.83736,Others
Filecoin,fil,2.31,1571657478,90523547,2.70611,Others
Binance-Peg WETH,weth,2591.8,1567222150,47200539,2.95445,Others
Algorand,algo,0.178226,1540757004,26658289,1.90635,Others
Jupiter Perpetuals Liquidity Provider Token,jlp,4.52,1534454405,24422815,1.68501,Others
Worldcoin,wld,0.905296,1534414812,92419973,4.39527,Others
Sei,sei,0.266451,1481903887,97442826,1.76503,Others
First Digital USD,fdusd,0.997831,1468345996,2578107191,-0.03161,Others
USDtb,usdtb,0.99964,1458638349,1127557,-0.00304,Others
Tokenize Xchange,tkx,17.93,1439848037,4115798,-12.58726,Others
Binance Staked SOL,bnsol,162.16,1422352505,1440107,3.77781,Others
KuCoin,kcs,11.07,1410693509,965676,0.6139,Others
USDT0,usdt0,1,1364862278,135316268,0.02637,Others
Jupiter,jup,0.450221,1354126750,48102688,3.53444,Others
NEXO,nexo,1.24,1242561271,11196088,0.03869,Others
Kelp DAO Restaked ETH,rseth,2713.82,1241957417,575276,2.93066,Others
SPX6900,spx,1.33,1234279227,44344714,8.0478,Others
Rocket Pool ETH,reth,2950.28,1219330077,1240659,2.86416,Others
Fartcoin,fartcoin,1.21,1209926355,115695381,2.0778,Others
Celestia,tia,1.65,1155772688,98282678,11.05778,Others
Flare,flr,0.0166065,1153048701,5234176,0.09751,Others
Injective,inj,10.82,1057304449,98132453,2.52896,Others
Polygon Bridged USDT (Polygon),usdt,0.99995,1056726730,10339801,-0.0187,Others
Virtuals Protocol,virtual,1.58,1037647937,128450856,2.7667,Others
XDC Network,xdc,0.063136,1023940190,23798950,1.30938,Others
Stacks,stx,0.663684,1019465167,18207266,3.11245,Others
Sonic,s,0.314758,1014598026,41388580,1.96951,Others
Pudgy Penguins,pengu,0.01596295,1003412071,195314142,1.29578,Others
Binance Bridged USDC (BNB Smart Chain),usdc,1.001,999750306,232524506,0.0539,Others
Mantle Staked Ether,meth,2769.64,983258214,912582,3.10383,Others
StakeWise Staked ETH,oseth,2719.06,972672212,3083.59,2.92523,Others
Optimism,op,0.550637,964805457,125298759,3.8158,Others
SyrupUSDC,syrupusdc,1.11,947345640,5239062,0.03431,Others
PAX Gold,paxg,3340.93,933428080,21576652,-0.09497,Others
Solv Protocol BTC,solvbtc,109110,925632238,504103,1.00173,Others
Arbitrum Bridged WBTC (Arbitrum One),wbtc,109265,904885763,59572839,1.26176,Others
dogwifhat,wif,0.897181,897224010,355042631,7.27182,Others
Kaia,kaia,0.153141,895325868,19808326,1.0208,Others
Story,ip,3.1,887456970,21078721,8.02534,Others
Wrapped BNB,wbnb,663.98,881710431,185390870,1.28956,Others
Renzo Restaked ETH,ezeth,2724.91,872876655,491684,2.7677,Others
PayPal USD,pyusd,0.999196,870948643,12181975,-0.07317,Others
clBTC,clbtc,110078,850709425,4.02,1.54876,Others
The Graph,grt,0.085903,848387732,22745855,4.24649,Others
FLOKI,floki,0.00008776,848097049,233259781,17.80206,Others
Tether Gold,xaut,3331.2,821231477,12807869,-0.13399,Others
Immutable,imx,0.42817,799130411,22144304,1.40594,Others
Jupiter Staked SOL,jupsol,171.42,796532725,3524798,3.61861,Others
PancakeSwap,cake,2.28,788635066,32631723,2.0841,Others
Vaulta,a,0.485842,766099499,24570705,1.19648,Others
Marinade Staked SOL,msol,199.63,760803538,5585788,3.64079,Others
Liquid Staked ETH,lseth,2795.91,752823650,630355,2.82526,Others
Theta Network,theta,0.708802,709320911,13560232,2.90238,Others
OUSG,ousg,111.69,709280126,0,0,Others
Curve DAO,crv,0.507202,695124483,66835501,1.94918,Others
Jito,jto,1.99,687468781,43765633,-0.6388,Others
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,10.73,686584461,0,0,Others
Lido DAO,ldo,0.755377,677556584,49258927,4.61427,Others
Stables Labs USDX,usdx,0.998015,672809826,416049,-0.03859,Others
GALA,gala,0.01442905,651792143,49838221,3.87148,Others
Zcash,zec,39.81,643257280,14072637,1.60625,Others
Ondo US Dollar Yield,usdy,1.092,634973635,242209,0.08437,Others
Ethereum Name Service,ens,18.95,628569232,44431646,3.1234,Others
Wrapped HYPE,whype,39.99,623697243,28881385,2.61688,Others
IOTA,iota,0.160872,622912049,8671643,3.39973,Others
The Sandbox,sand,0.248389,607645321,24000646,3.14144,Others
Aerodrome Finance,aero,0.714309,607586793,32973015,-1.37621,Others
Maple Finance,syrup,0.563046,604587793,36856581,1.87101,Others
BitTorrent,btt,6.11921e-7,603402698,5863723,1.11598,Others
Saros,saros,0.227339,596771551,7253839,4.2682,Others
JasmyCoin,jasmy,0.01231845,596419681,18585559,2.29843,Others
Solv Protocol Staked BTC,xsolvbtc,108122,593327981,352885,0.27653,Others
Raydium,ray,2.2,587587480,54026477,5.45639,Others
Usual USD,usd0,0.997919,585441980,4178052,-0.06115,Others
Super OETH,superoeth,2590.31,580597489,63319,2.98279,Others
Walrus,wal,0.416898,576059861,20757976,0.8679,Others
Pyth Network,pyth,0.099925,574566255,17400846,3.43173,Others
tBTC,tbtc,108794,572877985,4878338,0.79747,Others
Pendle,pendle,3.44,567114944,29718504,2.99943,Others
Tezos,xtz,0.534245,561031556,10398310,1.5347,Others
Mantle Restaked ETH,cmeth,2770.59,556193300,3080734,3.11553,Others
L2 Standard Bridged WETH (Base),weth,2589.41,545362062,285370484,2.89241,Others
cgETH Hashkey Cloud,cgeth.hashkey,2711.33,542073591,21.9,4.11838,Others
Falcon USD,usdf,0.999726,541695669,5477995,-0.00049,Others
AB,ab,0.00811803,539442902,56602031,-0.10163,Others
Flow,flow,0.330209,526488755,10948461,2.52089,Others
Arbitrum Bridged WETH (Arbitrum One),weth,2588.99,518389910,203761246,2.82478,Others
Avalanche Bridged BTC (Avalanche),btc.b,109303,516974877,17195305,1.04085,Others
Decentraland,mana,0.267796,514150306,20700834,4.11395,Others
Core,core,0.504865,507558372,9124683,1.41872,Others
Staked HYPE,sthype,39.99,498875553,635307,2.35473,Others
TrueUSD,tusd,0.997151,493601979,9196115,-0.02916,Others
ApeCoin,ape,0.615749,492265098,35846022,3.64533,Others
Venom,venom,0.235176,489949648,3602003,11.31582,Others
Ripple USD,rlusd,0.999798,485139881,18226135,-0.01332,Others
Bitcoin SV,bsv,24.35,484417647,16913134,0.86396,Others
Dog (Bitcoin),dog,0.00483568,483532854,23600427,16.1926,Others
Onyxcoin,xcn,0.01404737,481414125,13580293,1.22008,Others
THORChain,rune,1.35,475306101,56822560,3.38446,Others
Bridged USDC (Polygon PoS Bridge),usdc.e,0.9998,471791232,10813790,-0.00131,Others
Brett,brett,0.04522112,448386347,18339455,7.36084,Others
Binance-Peg Dogecoin,doge,0.172887,443599430,2545673,5.23903,Others
Morpho,morpho,1.42,441248237,11057897,4.32038,Others
APENFT,nft,4.40062e-7,435716576,9176161,0.47002,Others
DeXe,dexe,7.59,433266537,5701085,0.38227,Others
Beldex,bdx,0.060521,432688861,2701043,-0.10336,Others
Helium,hnt,2.33,430273565,3578615,4.8195,Others
Kava,kava,0.396961,430001394,11310711,1.64617,Others
Reserve Rights,rsr,0.0072535,420123508,16529138,3.05928,Others
USDD,usdd,0.999446,416378644,6408535,-0.04584,Others
Starknet,strk,0.114938,413115709,18124191,2.88093,Others
Circle USYC,usyc,1.093,410333537,215.26,0,Others
Movement,move,0.157097,408674423,25041778,-0.0018,Others
USDB,usdb,0.999905,405704495,407120,-0.02788,Others
Mog Coin,mog,0.00000104,405017998,13371758,7.88134,Others
BUILDon,b,0.400058,402048682,35853744,18.89203,Others
Stader ETHx,ethx,2755.38,400985541,346.38,2.94369,Others
dYdX,dydx,0.531315,398875063,5561118,2.81293,Others
Compound,comp,41.85,393063231,28687013,1.65463,Others
NEO,neo,5.49,387562253,14631336,1.90373,Others
MultiversX,egld,13.55,384880877,8131805,2.06337,Others
Conflux,cfx,0.074833,381734179,12500848,4.6277,Others
KAITO,kaito,1.58,381670901,22832986,3.42772,Others
Mantle Bridged USDT (Mantle),usdt,1,378315729,2996782,0.0955,Others
AIOZ Network,aioz,0.314513,373270387,6190615,1.32545,Others
eCash,xec,0.00001873,372609117,3550127,2.40224,Others
ether.fi Staked ETH,eeth,2591.26,371546691,3646.37,3.03583,Others
DeepBook,deep,0.14808,370210725,13252195,1.7759,Others
EigenCloud (prev. EigenLayer),eigen,1.17,366687488,59541287,7.22592,Others
Ether.fi Staked BTC,ebtc,109020,365980419,378776,0.97702,Others
Ether.fi,ethfi,0.971136,363931227,61691927,4.02704,Others
Axie Infinity,axs,2.2,363463973,12610029,2.26284,Others
Telcoin,tel,0.00392338,360168747,922017,2.91472,Others
Coinbase Wrapped Staked ETH,cbeth,2855.15,358971256,5263816,2.87816,Others
Polygon PoS Bridged DAI (Polygon POS),dai,0.999886,354375702,37217446,-0.01781,Others
Chiliz,chz,0.03611564,350571809,17263059,3.15098,Others
EOS,eos,0.485738,347394629,1051833,1.16056,Others
JUST,jst,0.03472257,343776494,16317451,0.81804,Others
Swell Ethereum,sweth,2831.26,343592258,147981,2.64557,Others
Arweave,ar,5.2,340851881,13240681,3.36472,Others
Olympus,ohm,20.53,336179719,188651,0.55803,Others
ZKsync,zk,0.04671388,334399239,18332928,3.01931,Others
Polygon Bridged WBTC (Polygon POS),wbtc,109232,332509765,3834617,1.14867,Others
Global Dollar,usdg,0.999359,332394648,15240515,0.02304,Others
Beam,beam,0.00631743,330695618,17540019,10.11282,Others
Polygon PoS Bridged WETH (Polygon POS),weth,2590.57,330498128,11026683,2.926,Others
Sun Token,sun,0.01725288,330284278,9415327,0.60139,Others
Ket,ket,0.327556,328409334,9819412,-4.12079,Others
Grass,grass,1.12,323222012,42431228,1.09404,Others
Axelar,axl,0.323264,322054543,6496020,1.80088,Others
Ronin,ron,0.486972,321034710,6815619,1.37778,Others
Legacy Frax Dollar,frax,0.998623,313984571,2120579,-0.03527,Others
Wormhole,w,0.06735,313809953,23620522,1.17258,Others
Frax Ether,frxeth,2587.86,313180625,685231,2.862,Others
Binance-Peg BUSD,busd,1.001,312729305,1303815,-0.11784,Others
Terra Luna Classic,lunc,0.00005705,311651864,8612645,2.02386,Others
Bybit Staked SOL,bbsol,166.84,306410062,1058456,3.61169,Others
Trip,trip,10.38,306190639,931.1,1.82785,Others
Popcat,popcat,0.308964,303094061,38471823,5.59203,Others
SuperVerse,super,0.669019,302275023,12194883,6.16858,Others
GHO,gho,0.999297,301811059,2513167,0.01152,Others
Gnosis,gno,112.6,297228855,3881704,3.00709,Others
Trust Wallet,twt,0.710717,296120878,5929311,2.9528,Others
OpenEden OpenDollar,usdo,1.001,293134475,8189.01,0.0501,Others
Akash Network,akt,1.076,291983211,7111327,-1.62446,Others
Useless Coin,useless,0.291612,291745082,29135109,-0.34479,Others
Treehouse ETH,teth,3130.18,291156557,1334616,2.87799,Others
Plume,plume,0.114651,290314662,25682164,1.67889,Others
Amp,amp,0.00344596,290212119,10577258,-0.63786,Others
aBTC,abtc,108959,289340441,358873,0.56509,Others
Wrapped AVAX,wavax,18.48,289044152,56446055,3.4494,Others
Cheems Token,cheems,0.0000014,285931296,3356929,-1.09835,Others
Keeta,kta,0.702999,284273893,7942104,13.85194,Others
Compounding OpenDollar,cusdo,1.019,284272018,2787649,-0.12806,Others
Turbo,turbo,0.00405287,279552962,55118985,12.76708,Others
Spiko EU T-Bills Money Market Fund,eutbl,1.22,277592856,0,0.0192,Others
pumpBTC,pumpbtc,106084,274737592,26628,0.58528,Others
cWBTC,cwbtc,2195.64,272071717,0,1.05866,Others
Creditcoin,ctc,0.597289,271535027,4310155,1.94296,Others
Polygon,matic,0.185209,269969746,498031,1.27685,Others
Safe,safe,0.442113,268376343,55189219,5.9139,Others
Decred,dcr,15.83,267534913,2434987,1.49892,Others
Aethir,ath,0.02682934,265467942,10917967,1.89097,Others
1inch,1inch,0.189877,264760621,50802325,5.32589,Others
BTSE Token,btse,1.63,263932775,2670708,0.276,Others
Livepeer,lpt,6.22,262193993,44616793,0.27553,Others
Universal BTC,unibtc,106106,250892391,227631,0.96843,Others
ETHPlus,eth+,2715.09,250254309,188718,2.88841,Others
cat in a dogs world,mew,0.00280743,249566048,35022563,7.20181,Others
BENQI Liquid Staked AVAX,savax,22.45,249509184,328805,3.47527,Others
Dash,dash,20.23,249281640,15110941,1.8664,Others
Drift Staked SOL,dsol,172.17,248244540,146826,3.74098,Others
Staked Frax Ether,sfrxeth,2916.12,244222630,137929,2.78237,Others
Moca Network,moca,0.06959,234992286,11808949,0.21925,Others
MX,mx,2.48,234054593,3549649,2.91967,Others
Zebec Network,zbcn,0.00268462,231662546,32907485,-4.94242,Others
Theta Fuel,tfuel,0.03274147,229078346,1960928,1.37159,Others
Peanut the Squirrel,pnut,0.228436,228577149,91887521,3.46897,Others
Golem,glm,0.228436,228435889,5220791,1.28793,Others
SafePal,sfp,0.453158,226580237,2016133,1.3268,Others
Toshi,toshi,0.00052587,221382431,12933171,2.73306,Others
Euler,eul,11.82,220849385,1237156,4.29649,Others
Kusama,ksm,12.89,215755437,6489660,2.48419,Others
Mina Protocol,mina,0.17134,212601600,6248202,2.26208,Others
Resolv USR,usr,0.99955,212527604,1215563,-0.00694,Others
Qtum,qtum,2,211173918,11027181,2.61635,Others
MANTRA,om,0.214354,209632499,30288014,4.49072,Others
Blockchain Capital,bcap,22.89,208515082,0,0,Others
Zilliqa,zil,0.01056375,206272069,7065497,1.68456,Others
LayerZero,zro,1.84,205144294,18568696,3.62616,Others
Berachain,bera,1.7,204362635,15550333,3.36828,Others
EURC,eurc,1.18,202936025,14528304,0.09971,Others
Arkham,arkm,0.458649,202824787,22319864,4.90546,Others
IoTeX,iotx,0.02142368,202211533,3282860,2.49273,Others
Baby Doge Coin,babydoge,1.183e-9,199514023,7923000,5.0789,Others
Ravencoin,rvn,0.01297428,198873997,7178617,1.53703,Others
SwissBorg,borg,0.200335,197126360,245434,5.0633,Others
Wrapped Beacon ETH,wbeth,2777.18,196989109,3569567,2.88065,Others
Wrapped Ether (Mantle Bridge),weth,2594.36,196859782,1823292,3.30868,Others
Synthetix Network,snx,0.572677,196695111,8826079,2.52594,Others
WEMIX,wemix,0.42783,193869853,2885835,4.71881,Others
Convex Finance,cvx,2.35,193362726,10876018,8.64633,Others
Legacy Token,lgct,1.76,192538738,5959759,1.14814,Others
Basic Attention,bat,0.127664,191091542,8736779,3.3181,Others
Moo Deng,moodeng,0.191781,190006492,114764770,5.36959,Others
Tradable NA Rent Financing Platform SSTN,pc0000031,1,189500000,0,0,Others
SKOR AI,skorai,0.216708,189131809,214926,-0.31009,Others
Notcoin,not,0.00184071,188823120,32251408,4.51109,Others
Gas,gas,2.89,188240745,4869525,1.05451,Others
USDa,usda,0.99341,188151789,15209.73,-0.10056,Others
0x Protocol,zrx,0.220907,187428225,10200817,2.91415,Others
Neiro,neiro,0.00044399,186887316,85913019,6.15856,Others
Astar,astr,0.02230107,181332569,10483158,-0.6247,Others
Frax (prev. FXS),frax,1.98,180155212,6078982,1.32265,Others
Oasis,rose,0.02428868,179518382,4268486,3.05944,Others
Verus,vrsc,2.25,177906345,31363,3.02254,Others
yearn.finance,yfi,5209.58,176079028,13326392,3.3653,Others
VeThor,vtho,0.00192193,175788932,1749015,1.98345,Others
ai16z,ai16z,0.157995,173758671,47775335,4.29198,Others
GoMining Token,gomining,0.425854,173467851,27970805,0.33424,Others
Blur,blur,0.071409,172298426,9896809,3.3512,Others
Aster Staked BNB,asbnb,701.83,171300353,3380.05,1.25641,Others
Tribe,tribe,0.374948,170607209,150721,1.27687,Others
MORI COIN,mori,0.188327,169493741,7463735,12.23078,Others
Binance-Peg SOL,sol,153.09,168347986,3123005,3.75499,Others
Siacoin,sc,0.00299697,167916470,4793135,2.50306,Others
ZetaChain,zeta,0.179569,166317554,9900667,2.54834,Others
Nervos Network,ckb,0.00353174,165427241,8338398,2.39714,Others
Elixir deUSD,deusd,0.999983,164881252,889512,0.01692,Others
Wrapped fragSOL,wfragsol,161.18,164580369,1607696,3.43425,Others
MimboGameGroup,mgg,0.00143522,164475828,1158217,-0.33281,Others
Sahara AI,sahara,0.080253,163721745,120971506,-0.24238,Others
OriginTrail,trac,0.326547,163299172,1624167,6.32297,Others
KOGE,koge,48.05,162853219,584351038,0.086,Others
ORDI,ordi,7.72,162276701,25300684,4.55284,Others
Qubic,qubic,0.00000134,161566044,1320712,0.54323,Others
Aave USDC (Sonic),asonusdc,0.999697,160932988,11030.33,0.00009,Others
Banana For Scale,bananas31,0.01602124,160185658,62311957,11.1182,Others
Threshold Network,t,0.01568549,158892389,5764547,1.09361,Others
Gigachad,giga,0.01649983,158556237,5445819,5.28318,Others
Celo,celo,0.274879,158341514,8503191,1.3524,Others
Steakhouse USDC Morpho Vault,steakusdc,1.09,157216660,0,0.00876,Others
Fluid,fluid,3.97,156518185,761903,2.06202,Others
UXLINK,uxlink,0.37811,154738929,91316640,9.03481,Others
Kinesis Gold,kau,107.34,154035634,142678,-0.46679,Others
Polymesh,polyx,0.129287,152185740,4639514,4.77999,Others
AgentFun.AI,agentfun,1.53,151774296,17383.3,1.46089,Others
Holo,hot,0.0008489,150856925,5235507,3.87898,Others
Stargate Finance,stg,0.153307,148932338,4059818,2.73502,Others
Nexus Mutual,nxm,60.31,147974417,0,3.19259,Others
aelf,elf,0.193102,147854862,2646633,0.87233,Others
STASIS EURO,eurs,1.18,146226440,37490,0.04196,Others
CoW Protocol,cow,0.298485,145736952,13431620,3.47143,Others
GMX,gmx,14.17,144741690,6235598,2.78946,Others
Cronos Bridged USDC (Cronos),usdc,0.999971,144496438,541370,-0.29782,Others
EthereumPoW,ethw,1.33,143460586,3690998,1.87568,Others
Snek,snek,0.00191924,143132855,835061,0.99766,Others
Ankr Network,ankr,0.01428017,142862215,8450415,1.16357,Others
Kinesis Silver,kag,37.25,142292952,183101,1.20643,Others
Humanity,h,0.077736,142037156,267182897,-3.32575,Others
Infrared Bera,ibera,1.66,141544778,203920,3.72686,Others
Casper Network,cspr,0.01069359,141347589,2251988,2.59135,Others
Origin Ether,oeth,2590.77,140726314,173619,3.29088,Others
FUNToken,fun,0.01324874,140354708,31829382,-2.30752,Others
Harmony,one,0.00955223,140003651,5576137,1.73875,Others
Chia,xch,9.58,139983449,4583729,2.066,Others
Prom,prom,7.6,138629110,4429973,1.71387,Others
Drift Protocol,drift,0.405746,137964521,21956561,-1.252,Others
MAG7.ssi,mag7.ssi,0.774071,137336332,645322,2.08394,Others
Rekt,rekt,3.26826e-7,137028315,7311350,6.48429,Others
Freysa AI,fai,0.01669557,136731544,1160287,1.58631,Others
aura,aura,0.143307,135680355,5255670,8.68843,Others
Zano,zano,9.14,135553577,1720135,-1.15092,Others
DigiByte,dgb,0.00755659,134335007,1801803,3.48513,Others
Vana,vana,4.36,134203204,9016775,2.81671,Others
TDCCP,tdccp,0.210025,134195936,165576,1.16455,Others
KUB Coin,kub,1.51,133795808,723471,1.70711,Others
CoinEx,cet,0.050112,133528943,63871,-0.31431,Others
Resolv RLP,rlp,1.2,133328752,620917,-0.08189,Others
Function ƒBTC,fbtc,109779,132428619,331132,1.50574,Others
Solayer,layer,0.629207,132199134,18369509,0.34891,Others
cETH,ceth,52.06,131568727,20.49,2.88462,Others
Kamino,kmno,0.058048,130885679,6616198,-0.18575,Others
ICON,icx,0.121952,130390877,1579150,0.90386,Others
AUSD,ausd,0.999476,130204955,49075331,-0.03238,Others
WOO,woo,0.068157,130168893,6424434,4.3348,Others
GMT,gmt,0.04384691,128740989,15181263,1.60457,Others
GOHOME,gohome,244.86,128456242,3909695,-0.09929,Others
Melania Meme,melania,0.198732,128277600,7236996,1.8224,Others
Conscious Token,conscious,0.127261,127964621,275949,3.18786,Others
Noble Dollar (USDN),usdn,0.9999,127848965,567810,-0.00033,Others
aixbt by Virtuals,aixbt,0.134776,127643836,35688925,3.50643,Others
AI Companions,aic,0.127319,127456758,4284827,-3.15545,Others
Non-Playable Coin,npc,0.0158023,127247402,2018803,2.6019,Others
XYO Network,xyo,0.00911433,126979691,6808122,1.557,Others
Coinshift USDL Morpho Vault,csusdl,1.032,126837102,0,0.01079,Others
Kadena,kda,0.391224,126596127,2656918,2.345,Others
Echelon Prime,prime,2.44,126480378,3371634,3.20709,Others
Mask Network,mask,1.24,124109945,16239677,4.00904,Others
ZIGChain,zig,0.088021,124017002,1578698,1.38744,Others
Enjin Coin,enj,0.066477,123728968,7890215,3.25833,Others
Horizen,zen,7.64,123399620,14284302,7.21099,Others
Liquity,lqty,1.26,123259996,22605063,8.38304,Others
Chintai,chex,0.121977,121762401,2678956,-5.38273,Others
Anzen USDz,usdz,0.98586,121190101,28422,0.13862,Others
SQD,sqd,0.16425,120612463,21255418,2.86976,Others
Sologenic,solo,0.300147,119812871,4594833,15.9783,Others
Orca,orca,1.99,119069233,10849823,2.35814,Others
Sushi,sushi,0.614646,118531272,21403771,4.55675,Others
io.net,io,0.701449,118421600,14588305,3.34993,Others
Alchemist AI,alch,0.139041,118244177,16683321,-1.17007,Others
SpaceN,sn,2.95,118074315,108912,13.7592,Others
Resolv wstUSR,wstusr,1.089,118031573,97977,0,Others
Purr,purr,0.197513,117838344,3004320,3.81552,Others
Paycoin,pci,0.112886,115434530,4388940,12.48489,Others
Spiko US T-Bills Money Market Fund,ustbl,1.05,115132372,0,0,Others
Nano,xno,0.857633,114302070,379664,2.82585,Others
crvUSD,crvusd,0.99976,113773157,3286408,-0.00284,Others
Solar,sxp,0.175448,113587265,3154861,2.1095,Others
Babylon,baby,0.04933625,113372774,13654586,6.4012,Others
Amnis Aptos,amapt,4.48,113019674,468053,2.13292,Others
Ontology,ont,0.123012,112480332,5715132,4.41199,Others
COTI,coti,0.050725,112299452,4527092,3.09884,Others
BORA,bora,0.097136,112030442,1744009,-0.59725,Others
Magic Eden,me,0.745624,111942077,6310577,2.32626,Others
BOOK OF MEME,bome,0.00161823,111677281,38466454,7.56452,Others
Lorenzo stBTC,stbtc,108709,111558692,7000.1,0.82853,Others
Level USD,lvlusd,0.99982,110949975,3519524,-0.00153,Others
ViciCoin,vcnt,19.48,110903090,200877,0.15981,Others
AWE Network,awe,0.056846,110420350,7936369,-1.04373,Others
Undeads Games,uds,1.083,109636728,896806,-8.52565,Others
Ozone Chain,ozo,0.131469,109634583,242016,0.58734,Others
Centrifuge [OLD],cfg,0.195339,109518346,835162,11.911,Others
Zenrock BTC,zenbtc,109278,109288818,29.83,1.13209,Others
World Mobile Token,wmtx,0.145917,108942977,4340536,2.39694,Others
Apollo Diversified Credit Securitize Fund,acred,1035.79,108672688,0,-0.00337,Others
Solayer Staked SOL,ssol,166.76,108472715,195666,3.56,Others
sBTC,sbtc,108380,108379790,38453,0.70347,Others
LCX,lcx,0.114892,108117994,276245,3.25726,Others
Osmosis,osmo,0.145781,107235671,4490386,4.96968,Others
Rocket Pool,rpl,4.95,106733795,5114006,2.84836,Others
Terra,luna,0.153681,105682276,14422529,2.58865,Others
Request,req,0.141318,105041200,2304728,1.62009,Others
Launch Coin on Believe,launchcoin,0.104169,104599813,28025680,5.90742,Others
Status,snt,0.0263014,104185107,5455753,0.69102,Others
SWFTCOIN,swftc,0.0103765,103782855,961411,-0.16234,Others
Entangle,ntgl,0.00017148,103745321,20.25,0,Others
Solv Protocol SolvBTC Jupiter,solvbtc.jup,115720,102839944,3057.12,1.09588,Others
Rei,rei,0.103258,102743876,803527,-11.75245,Others
